Accession	Samples	Title	Description
GSE192714	14	Enhancer decommissioning by MLL4 ablation elicits dsRNA-interferon signaling and GSDMD-mediated pyroptosis to potentiate anti-tumor immunity	Transcriptional enhancers instruct spatiotemporal gene expression and their dysfunction has long been known as one of the primary mechanisms that drive tumorigenesis and confer malignant tumor cell behaviors. However, it is largely unknown about whether tumor cell enhancer regulation plays a role in tumor immune evasion and anti-tumor immune response. Here, we demonstrate that tumor cell deletion of Mll3 and Mll4, two members of COMPASS family for enhancer H3K4 mono-methylation, increases tumor cell immunogenicity and promotes anti-tumor immune response.
GSE198540	8	Inter-organellar and systemic survival responses to impaired mitochondrial matrix protein import in skeletal muscle	Mitochondrial functions are largely performed by proteins imported from cytosol. Impaired protein import in mitochondria affects the maintenance of intra-mitochondrial anabolic and energy metabolic pathways. It leads to cytosolic accumulation of mistargeted proteins and activation of cellular stress responses. To explore the communication between these mechanism in mammalian system, we targeted the co-chaperone of mitochondrial Hsp70, a GrpE Like protein 1 (Grpel1), in mice.
GSE207957	12	Effect of global Caspase-1 (Casp1) knockout (KO) on kidney gene expression in an orthologous mouse model of polycystic kidney disease (PKD)	We examined the effects of global Caspase-1 KO on kidney gene expression in an orthologous mouse model of PKD, which carries a homozygous knockin missense mutation, Pkd1RC/RC , that matches a human disease allele, PKD1 p.R3277C ("RC").
GSE151752	8	RNAseq of livers from WT mice or livers with Rbfox2 knockout fed CD with 30% (w/v) Fructose in the drinking water	Rbfox2 is required for maintaining hepatic metabolic homeostasis. Here we carry out RNAseq to of WT and aged matched litter mate Rbfox2 knockout mice under CD or HFD in order to determine changes in alternative splicing and mRNA expression caused by knockout of this splicing factor in the context of metabolic health and disease.
GSE151748	8	RNAseq of livers from WT mice or livers with Rbfox2 knockout fed CD	Rbfox2 is required for maintaining hepatic metabolic homeostasis, here we carry out RNAseq to of WT and aged matched littermate Rbfox2 knockout mice under high fructose in order to determine changes in alternative splicing and mRNA expression caused by knockout of this splicing factor in this metabolic environment.
GSE213433	3	RNA-Seq analysis of beta-actin knockout MEFs expressing NLS-tagged beta-actin	RNA-Seq analysis of beta-actin knockout MEFs expressing NLS-tagged beta-actin to study role of actin in transcription
GSE171878	4	Analysis of the differential expression of genes in Otub2- knockout mice	Oral and esophageal squamous cell carcinomas (SCCs) are associated with high mortality, yet molecular mechanisms underlying these malignancies are largely unknown. We demonstrate that epigenetic silencing of otubain 2 (OTUB2), a previously recognized oncogene, drives SSCs initiation and drug resistance.
GSE137505	6	Genome-wide expression analysis in murine liver after Nbs1 induced knockout	NBS1 (Nbn in Mus musculus) is a critical component of the MRN (MRE11/RAD50/NBS1) complex, which regulates ATM- and ATR-mediated DNA damage response (DDR) pathways. NBS1 mutations cause the human genomic instability syndrome Nijmegen Breakage Syndrome (NBS), in which microcephaly and intellectual disability are marked neuronal deficits. NBS1 is essential for life, because of its function in the DDR to ensure proliferation and preventing the cell death of replicating cells.
GSE212739	2	Effect of depletion of Rcrin on gene expression in mouse liver tissues	To investigate the function of Rcrin in liver, we established Rcrin flox mice and crossed with Alb-cre mice, then we generated Rcrin conditional knockout mice. Then we got liver tissues from Rcrin conditional knockout mice and Rcrin flox mice. We then performed gene expression profiling analysis using data obtained from RNA-seq of Rcrin conditional knockout mice (Rcrin knockout) and Rcrin flox mice (WT) at age of 8 weeks old.
GSE179398	12	Transcriptomic data from the liver of Ahr knockout mice	Alcoholic liver disease, which varies in severity from mild steatosis to cirrhosis and hepatitis, is one of the most prevalent chronic liver diseases worldwide. Excessive alcohol consumption remains the leading cause of ALD and alcohol-related complications and deaths. However, no medications have been developed to treat this disease and its pathogenesis remains elusive. Here, to understand alcohol-induced AhR activation in more detail, transcriptomic data was conducted using livers from mice subjected to either control or Lieber-DeCarli alcohol diets.
GSE212237	22	Sequencing of proximal tubular carnitine-acetyl transferase knockout kidney cortex from mouse	We report the comparison of normal vs proximal tubular cell specific CrAT knockout kidney cortex by sequencing analysis
GSE212294	32	Transcriptional profilling of liver from C57BL/6 wildtype and PPARα-knockout mice treated with PFOA and GenX after 20 weeks of high-fat diet	Perfluoroalkyl substances (PFAS) are man-made chemicals with suspected endocrine-disrupting properties. Exposure to perfluorooctanoic acid (PFOA) has been linked to disturbed metabolism via the liver, although the exact mechanism is not clear. Moreover, information on the metabolic effects of the new PFAS alternative GenX is limited. We tested whether low-dose exposure to PFOA and GenX induces metabolic disturbances, including NAFLD, dyslipidemia, and glucose tolerance in mice and studied the involvement of PPARα.
GSE182137	4	10X single-cell RNA-sequencing profiling of hepatic non-parenchymal cells from LPS or PBS-administrated Hlj1 knockout and littermate wild-type mice.	Hlj1 knockout mice survive better than wild-type mice when injected with a lethal dose of lipopolysaccharide (LPS). As the liver is the major source for production of inflammatory cytokines and is also responsible for bacterial and toxin clearance when hosts are exposed to pathogens, we asked whether Hlj1 participated in immune modulation in the liver.  We isolated and sequenced each hepatic non-parenchymal cells from these mice, and identified Hlj1 as the key regulator to enhance IFN-g-related signaling in NK cells.
GSE189351	8	Global tibialis anterior skeletal muscle transcript data from male Carm1 skm-/- (HSAcre Tg/0 x Floxed Carm1) and Carm1 skm+/+ mice (HSAcre 0/0 x Floxed Carm1) on a chow diet.	Transcript data from tibialis anterior muscle from male muscle-specific Coactivator-Associated Arginine Methyltransferase 1 (Carm1 ) knockout mice (Carm1 skm-/- ) and wild-type mice (Carm1 skm+/+) generated by using the Cre-loxP system (on a C57BL6J/129 background) with HSA-Cre mice (from Jackson laboratories). We used RNA-Seq to detail the effects of muscle-specific loss of Carm1  on the global program of gene expression in tibialis anterior muscle.
GSE171156	4	mRNA transcriptome analysis of Ddx6 knockout embryos	DDX6 is an RNA helicase and involved in various post-transcriptional regulatory processes. Although DDX6 is an evolutionarily well conserved central player in post-transcriptional gene regulation, its function in embryonic development remains obscure. To study this, we examined Ddx6 knockout mouse embryos and pluripotent cell lines. E8.5 Ddx6 mutants exhibited gastrulation defects. To transcriptomically identify the existing cell population in E8.5 mutant embryos and further find the possible causes of this defect, we performed RNA-seq analysis with E8.5 embryo cDNA libraries.
GSE179138	24	Analysis of gonadal fat from male control and adipocyte-specific LAMA4 knockout mice	To determine the transcriptomic effects of LAMA4 loss on adipose tissue structure and gene expression in two dietary paradigms, we assessed gonadal white adipose tissue of male control and adipocyte-specific LAMA4 knockout mice using a Quant-Seq strategy.
GSE156345	12	Quantitative analysis of standard diet and high fat diet-fed wild type and Sirt3 knockout mouse pancreatic islets transcriptomes.	To explore the underlying mechanism for the regulatory role of SIRT3 in pancreatic islets under standard and high fat diet feeding, we conducted RNA sequencing on the isolated islets from standard diet and high fat diet-fed wild type and pancreatic beta cell selective Sirt3 knockout mice (four groups in total). Three biological replicates were performed for each group.
GSE199926	4	Single-cell analysis of bone marrow B220+ cells from 56R and  LAPTM5 knockout (LAPTM5KO) 56R mice	We used single-cell transcriptomics and BCR sequencing to analyze B cell development in 56R and LAPTM5KO 56R mice. We found increased proportions of immature B and mature B cells in LAPTM5KO 56R mice compared to 56R mice. QuSAGE analysis revealed that immature B cells from LAPTM5KO 56R mice were enriched in PI3K-Akt, mTOR, Ras and MAPK signaling pathways that contribute to cell survival. Moreover, mature B cells from LAPTM5KO 56R mice were enriched for activated autoimmune disease and transplant rejection pathways compared with those from 56R mice, suggesting that LAPTM5KO 56R mice might be more susceptible to autoimmunity.
GSE196318	18	High throughput sequencing for circRNAs and mRNAs in XPO4 knockout NIH/3T3 cell [RNA-seq]	Numerous RNAs are exported from the nucleus, abnormalities of which lead to cellular complications and diseases. We report the identification of Exportin 4 (XPO4) as a conserved circular RNA (circRNA) exportin. Cellular insufficiency of XPO4 causes nuclear circRNA accumulation, circRNA:DNA (ciR-loop) formation, linear RNA:DNA (liR-loop) buildup, and DNA damage. These results provide insights into the mechanism and biomedical links of circRNA nuclear export.
GSE202977	24	Sex differences in statin response in hypercholesterolemic (Apoe knockout) Four Core Genotypes mice.	RNA-sequening of livers from Apoe knockout Four Core Genotypes mice (XX ovaries, XX testes, XY ovaries, XY testes) fed either chow diet or chow diet + simvastatin (0.1g/kg) for 8 weeks.
GSE210401	9	Effect of deletion of von-Hippel-Lindau (VHL) in the proximal tubule in diabetic kidney disease	To establish the role of proximal tubular hypoxia in diabetic kidney disease, we use a mouse line with a specific deletion of von-Hippel-Lindau (VHL) in the proximal tubule and treat them with streptozotocin (STZ) to induce a type I diabetes mellitus. 10 weeks after induction of diabetes mellitus samples were collected.
GSE210572	8	Gene expression profile of E15.5 Pantr2 knockout dorsal telencephalon	We used single nuclei RNA sequencing to discover changes in the developmental trajectory of differentiating neural precusors in the developing murine cortex
GSE210377	6	Effect of caspase-3 and -7 knockout on doxorubicin treated B16 melanoma cells	To measure the immunosuppressive effect of caspase-3 and -7 in apoptosis, we generated B16 sgCTRL and sgCasp3/7 cells and treated them with doxorubicin
GSE188156	24	The major urinary protein gene cluster knockout mouse as a novel model for translational metabolism research [RNAseq]	Scientific evidence suggests that not only murine scent communication is regulated by major urinary proteins, but that their expression may also vary in response to metabolism via a yet unknown mechanism. Major urinary proteins are expressed mainly in the liver, showing a sexually dimorphic pattern with substantially higher expression in males. Here, we investigate the metabolic implications of a major urinary protein knockout in twelve-week-old male and female C57BL/6N mice during ad libitum feeding.
GSE204994	9	Gene expression profile on the single cell level of atherosclerotic plaque from mice with MCP1 knockout in Lgals3-transitioned smooth muscle cells	Many different subsets of smooth muscle cells  (SMC) are present in advanced atherosclerotic plaque. We used single cell sequencing to interrogate the impact of MCP1 made by Lgals+ smooth muscle cells on smooth muscle and immune cell subsets in advanced atherosclerotic plaque
GSE192990	6	RNAseq analysis of skeletal muscle transcriptomes from wild-type, LONP1 skeletal muscle specific knockout (LONP1 mKO) and LONP1ATF4 skeletal muscle double-knockout (LONP1ATF4 DmKO) mice.	Studying the molecular basis for the skeletal muscle mitochondrial stress response could potentially be targeted to counteract metabolic disorders such as obesity. We uncovered a crucial role for the mitochondrial protease LONP1 in controlling the muscle mitochondrial proteostasis stress response that governs systemic metabolic homeostasis. Skeletal muscle-specific ablation of LONP1 led to broad genomic reprogramming of muscle and protected the mice from HFD-induced obesity.
GSE208224	2	Single-cell RNA-seq profiling of small intestinal epithelium from whole body miR-375 knockout mice (baseline)	MicroRNAs (miRNAs) are important post-transcriptional gene regulators in organ development. To explore candidate roles for miRNAs in prenatal SI lineage specification in humans, we used a multi-omic analysis strategy in a directed differentiation model that programs human pluripotent stem cells toward the SI lineage. We leveraged small RNA-seq to define the changing miRNA landscape, and integrated chromatin run-on sequencing (ChRO-seq) and RNA-seq to define genes subject to significant post-transcriptional regulation across the different stages of differentiation.
GSE158191	6	Heart mRNA profiles of TAC 8-weeks  wild type (WT) and miR-27b-3p knockout mice	Aim: The heart undergoes pathological remodelling under increased stress and neuronal imbalance. MicroRNAs (miRNAs) are involved in post-transcriptional regulation of genes in cardiac physiology and pathology. However, the mechanisms underlying miRNA-mediated regulation of pathological cardiac remodelling remain to be studied. This study aims to explore the function of endogenous microRNA-27b-3p (miR-27b-3p) in pathological cardiac remodelling.
GSE208021	12	Dynamic mitochondrial transcription and translation in B cells control germinal centre entry and lymphomagenesis	Study of the effects of Tfam deletion on germinal centre B cells
GSE186414	17	Bulk RNAseq of C1Q knockout TauP301S hippocampi	The effect of C1q knockout on brain gene expression was examined in non-transgenic and TauP301S mice. Complement pathway has been shown to play an important role in neurodegenerative diseases, and in-house data show that C1QC KO protects against neurodegeneration in Alzheimer's disease (AD) model. TauP301S mice have neuroinflammation and neurodegeneration in the brain and is AD model. The most severe pathology of this disease model is in hippocampus.
GSE190060	6	FSH-deficiency in gonadotrope-specific GATA2 knockout mice is associated with a loss of gremlin expression [snRNA-Seq]	Mammalian reproduction is dependent on the gonadotropins, follicle-stimulating hormone (FSH) and luteinizing hormone, which are secreted by pituitary gonadotrope cells. The zinc-finger transcription factor, GATA2, was previously implicated in FSH production in male mice, although its mechanisms of action and role in females were not determined. To address these gaps in knowledge, we generated and analyzed gonadotrope-specific Gata2 knockout mice using the Cre-lox system.
GSE189915	4	FSH-deficiency in gonadotrope-specific GATA2 knockout mice is associated with a loss of gremline expression	Mammalian reproduction is dependent on the gonadotropins, follicle-stimulating hormone (FSH) and luteinizing hormone, which are secreted by pituitary gonadotrope cells. The zinc-finger transcription factor, GATA2, was previously implicated in FSH production in male mice, although its mechanisms of action and role in females were not determined. To address these gaps in knowledge, we generated and analyzed gonadotrope-specific Gata2 knockout mice using the Cre-lox system.
GSE205136	6	Transcriptome analysis of WT and lactoferrin knockout satellite cells grown for 4 days	Our phenotypic data suggest that lactoferrin knockdown reduces satellite cell proliferative capacity. The mouse muscle tissue was digested with collagenase, and satellite cells were obtained by flow sorting. We performed transcriptome analysis of wt and lactoferrin knockout cells grown for 4 days in vitro.
GSE188993	18	Wnt5a–Vangl1/2 signaling regulates the position and direction of lung branching through the cytoskeleton and focal adhesions	Lung branching morphogenesis requires reciprocal interactions between the epithelium and mesenchyme. How the lung branches are generated at a defined location and projected toward a specific direction remains a major unresolved issue. In this study, we investigated the function of Wnt signaling in lung branching in mice. We discovered that Wnt5a in both the epithelium and mesenchyme plays an essential role in controlling the position and direction of lung branching.
GSE207430	18	Effect of tubular IKKb deletion in acute ischemic kidney injury	To establish the role of Ikkb during acute kidney injury, we use a mouse line with a specific deletion of Ikkb in the renal tubular system and exposed them to ischemia/reperfusion. Sample collection were done 2 days and 14 days after ischemia/reperfusion.
GSE196356	6	Multiple knockout mouse models indicate a role of miR-124a in neuronal maturation	MicroRNA-124a (miR-124a) is one of the most abundantly expressed miroRNAs in the central nervous system (CNS) and encoded by three genomic loci of miR-124a-1/2/3 in mammals; however, its in vivo roles and mechanisms in neuronal development and function remain ambiguous. In the present study, we investigated the effect of loss of miR-124a on neuronal differentiation in mice and embryonic stem (ES) cells.
GSE203311	2	Single-cell RNA sequencing of cortical samples in Fam69c knockout mice	Synapse loss and memory decline are the primary features of neurodegenerative dementia. However, molecular underpinnings that drive memory loss remain largely unknown. Here, we report that FAM69C is a novel kinase critically involved in neurodegenerative dementia. Biochemical analyses uncovered that FAM69C is a serine/threonine kinase. We generated the Fam69c knockout mice, and showed by single-cell RNA sequencing that FAM69C deficiency drives cell-type-specific transcriptional changes relevant to synapse dysfunction.
GSE163642	22	The role of microglial cells in the development of retinal angiomatous proliferation in the Vldlr knockout mouse	Objective:   Retinal angiomatous proliferation (RAP) represents a special form of neovascular age-related macular degeneration. Immune cells accumulate at RAP, but so far it is unclear whether these cells are resident retinal microglial cells (MG) or blood infiltrating monocytes (MO) and whether these cells can influence RAP formation. The aim of this study is to determine the relative contribution of MG and MO to RAP and to define the transcriptional profile of the dominant cell population.
GSE181752	12	High-throughput RNA sequencing analysis of mouse peritoneal cells from wild type and Lactoferrin knockout mouse during Lipopolysaccharide(LPS) stimulation	Purpose: The goal of this study is using  RNA sequencing analysis to evaluate the role of lactoferrin in the LPS-induced acute inflammation in mouse Methods: 4 hs after intraperitoneal injection with LPS(4mg/kg) or equal volume PBS , the peritoneal cells were isolated from the peritoneal lavage fluid from wild type and lactoferrin knockout mice (n=3 for each group) . Then the cell RNA was sequenced by the HiSeq 2500 high-throughput sequencing service (Oebiotech, Shanghai, China).
GSE165665	6	Transcriptional effects of YAP/TAZ knockout in primary mouse dermal fibroblasts	We compared the transcriptomes of control and YAP/TAZ knockout fibroblasts, and the latter in the presence or absence of a STING inhibitor
GSE182009	10	Fibroblasts-derived from Pluripotent Cells Harboring a Single Allele Knockout in Two Pluripotency Genes Exhibit DNA Methylation Abnormalities and Reprogramming Defects	Gene expression comparison between various pluripotent stem cell lines (as indicated below) that grew under 2i/Lif or S/Lif conditions
GSE196878	4	Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and Adar1 B Cell Conditional Knockout Activated B Cells Transcriptomes	Purpose: to compare the gene expression differences between wild-type activated B cells and Adar1 knockout activated B cells Methods: In vitro activated B cells were sorted using a BD FACSAira sorter, and total RNA was extracted using RNeasy Mini Kit (Qiagen) and poly(A) mRNA was isolated with the poly(A) mRNA Magnetic Isolation Module (NEB). Libraries were prepared using NEBNext Ultra RNA Library Prep Kit for Illumina (NEB) and sequenced on an Illumina Hiseq instrument (Illumina).
GSE205963	6	TET2-mutant clonal hematopoiesis and risk of gout	Gout is a common inflammatory arthritis caused by precipitation of monosodium urate (MSU) crystals in individuals with hyperuricemia. Acute flares are accompanied by secretion of pro-inflammatory cytokines, including interleukin-1 beta (IL-1B). Clonal hematopoiesis of indeterminate potential (CHIP) is an age-related condition predisposing to hematologic cancers and cardiovascular disease. CHIP is associated with elevated IL-1B, thus we investigated CHIP as a risk factor for gout.
GSE205528	8	Trerf1 knockout compared to wild type lineage-negative CD127+ bone marrow cells	Mice that lack the transcriptional regulator Trerf1 lack ILC1 in the liver and immature ILC1 in the bone marrow. To determine which pathways are downstream of Trerf1, we sorted lineage-negative CD127+ bone marrow cells (which contain ILC progenitors) from 4 littermate pairs (wild type versus Trerf1 knockout) and examined them by RNAseq.
GSE186314	12	Transcriptome profile of livers from hepatocyte-specific Slc25a34 knockout mice on chow and fast-food diet	Identifcation of diferentially expressed genes in livers of mice maintained on chow diet or fast-food diet when Slc25a34 is deleted in hepatocytes.
GSE199074	6	Next Generation Sequencing Facilitates Quantitative Analysis of Transcriptomes of Skeletal Muscle-Specific Akt Knockout Mice	Impact of knocking out of Akt in fast-twitch muscle on the transcritome was characterized by down-regulation of genes involved in mitochondria and electron transport chain.
GSE168850	6	RNA-seq analysis of mRNA profiles in the livers of Wtapflox/flox and hepatocyte-specific Wtap knockout (HKO) mice	Purpose: The goal of this study is to compare transcriptome profilings of liver from Wtapflox/flox and hepatocyte-specific Wtap knockout (HKO) mice. Methods: Total RNA was extracted using Tripure Isolation Reagent (Roche, Mannheim, Germany) from livers of Wtap flox/flox and Wtap-HKO mice at 8 weeks old. mRNA profiles were generated by deep sequencing using an Illumina Novaseq platform. Paired-end clean reads were aligned to the mouse reference genome(Ensemble_GRCm38.p6) with TopHat (version 2.0.12), and the aligned reads were used to quantify mRNA expression by using HTSeq-count (version 0.6.1).
GSE204794	12	Transcriptomics profiling of white adipose tissue of macrophage-specific Gja1 Knockout mice fed a normal chow diet (NCD) and high fat diet (HFD)	Adipose mRNA profiles of wild-type and Gja1 knockout (tamoxifen-induced Csf1r-CreER/ Gja1(floxed/floxed)) mice were generated by deep sequencing.
GSE199118	6	mRNA expression profiling analysis obtained from meninges of PRELP knockout mouse	PRELP knockout animals constructed on C57BL/6 mouse strain and meninges RNA extracted from 22-25 week-old mice for expression profiling analysis
GSE205034	9	Regulation of erythropoiesis in the spleen by Desert Hedgehog (Dhh)	Dhh negatively regulates multiple stages of erythrocyte differentiation. In Dhh-deficient bone marrow, the common myeloid progenitor (CMP) population was increased, but differentiation from CMP to granulocyte/macrophage progenitor was decreased, and the mature granulocyte population was decreased, compared with wild-type (WT). In contrast, differentiation from CMP to megakaryocyte/erythrocyte progenitor was increased, and the megakaryocyte/erythrocyte progenitor population was increased.  In Dhh-deficient spleen and bone marrow, BFU-Es and erythroblast populations were increased compared with WT.
GSE187027	6	Single cell RNA-sequencing of Zip8 knockout cells	10-12 weeks SPC-CreERT2-Slc39a8 mice and littermate control mice were first treated 4 doses of tamoxifen, 2 weeks later, lung cells were isolated, magnetic enriched CD45 negative cells were used for single cell RNA sequencing
GSE203239	4	HDAC6 deacetylates IDH1 to regulate the homeostasis of hematopoietic stem/progenitor cells	In order to further explore the mechanism by which increased 5hmC inhibits expansion of LSK cells from Hdac6-/- murine primary BM cells, we performed RNA sequencing (RNA-seq) analysis using LSK cells isolated from Hdac6-/- and WT mice.
GSE169263	6	RNA-Seq of adrenal glands tissue from Wild Type (WT) and Armc5 knockout mice	RPB1-specific ubiquitin ligase (E3) controls the degradation of this largest subunit of Pol II and consequently the Pol II pool size. Although several RPB1-specific E3s have been documented, their function is only revealed in cells with massive DNA damage. We demonstrated that ARMC5 physically interacted with cullin3 (CUL3) and RPB1. ARMC5 is an armadillo domain-containing protein with unknown mechanisms of action.
GSE168213	18	Gene expression analysis of granulosa cells from animals that are wildtype or knockout for total PGR, PGR-A or PGR-B	Progesterone receptor (PGR) is essential for various functions in the female reproductive tract, especially ovulation in the ovary. PGR consists of two main isoforms, PGR-A and PGR-B, that possess different expression patterns and are responsible for various unique roles in different tissue contexts. While both are present in the reproductive tract, PGR-A is the only one known to be essential for ovulation while PGR-B plays a lesser role in the reproductive tract.
GSE131357	9	RNA seq on tumors from two groups of mice (cancer-collagen1 knockout group and control group)	RNA sequencing analysis on tumor samples from two groups of mice (1) KPPC;Col1pdxKO cancer-collagen1 knockout group and (2) KPPC control group
GSE168984	9	Transcriptome profiling of muscle from control, mdx and Sirt6 knockout on mdx background mice	In this study, Pax7-Cre mediated inactivation of Sirt6 in mdx mice resulted in profound improvement of the mdx phenotype at the functional level. To study the underlying molecular mechanisms we performed RNA-seq of muscles from control, mdx and Sirt6mKO/mdx mice.
GSE168983	6	Transcriptome profiling of muscle stem cells from control, mdx and Sirt6 knockout on mdx background mice	In this study, Pax7-Cre mediated inactivation of Sirt6 in mdx mice resulted in profound improvement of the mdx phenotype at the functional level. To study the underlying molecular mechanisms we performed RNA-seq of MuSCs from control, mdx and Sirt6mKO/mdx mice.
GSE131064	2	RNA seq on two primary pancreatic cancer cell lines (cancer-collagen1 knockout cell line and control pancreatic cancer cell line)	RNA sequencing analysis on two primary pancreatic cancer cell lines from transgenic mice: (1) cancer-collagen1 knockout cell line from KPPC;Col1pdxKO cancer-collagen1 knockout tumor and (2) control pancreatic cancer cell line from KPPC tumor
GSE202633	9	Induction of a colitogenic phenotype in Th1-like cells depends on interleukin-23 receptor signaling [cd160 knockout ex-vivo]	RNA-sequencing of wild-type and cd160 knockout CD4 T cells utilized in a T cell transfer colitis model
GSE202260	6	Next Generation Sequencing of CD8+ cells from Wild Type and miR-144/451 knockout mice	To investigate the function miR-144/451 on the function of CD8+ cells, we sorted the CD8a+ cells from wild type and miR-144/451 knockout mice, and  then performed gene expression profiling analysis using data obtained from RNA-seq.
GSE188538	4	RNA profiling of wild-type and hnRNPF-knockout splenic B cells	Alternative splicing (AS) plays an important role in the development and activation of B cells. RNA-binding proteins (RBPs) have emerged as critical players in AS regulation. RNA-binding protein hnRNPF regulates AS of several important genes, such as c-Src, Bcl-xl, Mcl-1 and Tcf3 in tumor cells, but its function in  B cell biology is not known.Here we constructed CD19-Cre mediated hnRNPF conditional knockou mice and performed RNA-sequencing to profile mRNA expression and AS regulated by hnRNPF in splenic B cells.
GSE197149	12	RNA-seq analysis of peripheral nerve with conditional knockout of Bap1 deubiquitinase.	The goal of the experiment was to determine the role of H2A deubiquitinase in the nerve injury response in peripheral nerve. A Schwann cell specific knockout of the H2A deubiquitinase (Bap1) was generated to compare with wild type mice.
GSE201672	12	Retinoic acid supplementation rescues the social deficits in Fmr1 knockout mice	Autism spectrum disorder (ASD) is a hereditary intellectual disability. Fragile X syndrome (FXS) is the leading cause of ASD and mainly results from the abnormal CGG amplification (>200 repeats) of the fragile X mental retardation 1 (Fmr1) gene. All-trans retinoic acid (RA) is involved in synaptic plasticity, neuronal differentiation and brain maturation. RA-mediated synaptic strength regulation was abolished in FXS patient-derived induced pluripotent stem (iPS) cells.
GSE185944	18	Gene expression profiling of osterix-derived cells from control and PTH1R knockout mice in osteoprogenitors	We used Osx-Cre:GFP / ROSA26-loxP-stop-loxP-tdTomato mice with or without PTH1Rfl/fl. Bone marrow and bone were digested to make single cell suspension, and sorted by fluorescence. Bulk cell RNA sequencing were performed to identify specific transcripts from osterix-derived cells.
GSE199113	2	An innate IL-25-ILC2-MDSC axis creates a cancer-permissive microenvironment for Apc-mutation-driven intestinal tumorigenesis	Interleukin-25 and group 2 innate lymphoid cells (ILC2s) defend the host against intestinal  helminth infection, and are associated with inappropriate allergic reactions. Recently, it was  reported that IL-33-activated ILC2s augment protective tissue-specific pancreatic cancer  immunity. Here we show a diametrically opposite role for intestinal IL-25-activated ILC2s  where they create an innate cancer-permissive microenvironment.
GSE191241	4	Role of Idax and Rinf in ESC differentiation	In this study we assessed transcriptomic changes that occur due to loss of Rinf or Idax or both during differentiation of ESCs to EBs by  subjecting EBs derived from Idax knockout, Rinf knockout or Idax/Rinf double knockout (DKO) ESCs by RNA-seq to identify differentially expressed genes.
GSE174173	9	Liver tumor gene expression profile of liver-specific PTEN KO, PTEN/SCAP double KO mice	Nonalcoholic steatohepatitis (NASH), a severe form of nonalcoholic fatty liver disease, is characterized by hepatic steatosis and hepatocellular injury and progresss cirrhosis and hepatocellular carcinoma. Sterol regulatory elment-binding proteins (SREBPs) are  master regulators of lipogenesis. Liver-specific PTEN knockout (KO) mice show constitutive upregulation of SREBP through PI3K-Akt pathway activation, leading to spontaneous fatty liver and subsequent HCC development.
GSE169104	12	Liver gene expression profile of wild type, liver-specific PTEN KO, SCAP KO and PTEN/SCAP double KO mice.	Nonalcoholic steatohepatitis (NASH), a severe form of nonalcoholic fatty liver disease, is characterized by hepatic steatosis and hepatocellular injury and progresses to cirrhosis and hepatocellular carcinoma. Sterol regulatory element-binding proteins (SREBPs) are  master regulators of lipogenesis. Liver-specific PTEN knockout (KO) mice show constitutive upregulation of SREBP through PI3K-Akt pathway activation, leading to spontaneous fatty liver and subsequent HCC development.
GSE129370	12	Transcriptomic analysis of hepatic genes in pair-fed and ethanol-fed wild type and Sirt6 liver-specific knockout mice	RNA-seq was performed on mRNA samples purified from the livers of wild type (WT) and Sirt6 liver-specific knockout (KO) mice.
GSE199869	14	Microglial-oligodendrocyte interactions in myelination and neurological function recovery after traumatic brain injury	Differential microglial inflammatory responses play a role in regulation of differentiation and maturation of oligodendrocytes (OLs) in brain white matter. How microglia-OL crosstalk is altered by traumatic brain injury (TBI) and its impact on axonal myelination and neurological function impairment remain poorly understood. In this study, we investigated roles of a Na+/H+ exchanger (NHE1), an essential microglial pH regulatory protein, in microglial proinflammatory activation and OL survival and differentiation in a murine TBI model induced by controlled cortical impact.
GSE198769	15	Bronchoalveolar lavage alveolar macrophage subset transcriptomes in WT and NOX2-knockout mice	The leukocyte NADPH oxidase 2 (NOX2) plays a key role in pathogen killing and immunoregulation. Genetic defects in NOX2 result in chronic granulomatous disease (CGD), associated with microbial infections and inflammatory disorders, often involving the lung. Alveolar macrophages (AM) are the predominant immune cell in the airways at steady state, and limiting their activation is important given constant exposure to inhaled materials, yet the importance of NOX2 in this process is not well-understood.
GSE197291	32	Time-dependent alteration of gene expression after induced knockout of Trex1 in bone marrow derived macrophages.	Defects in three prime repair exonuclease (TREX1) cause the type I interferonopathy Aicardi Goutières syndrome. In absence of TREX1 some unknown DNA is accumulating in the cytosol which triggers cGAS/STING activation and type I interferon production. This analysis was designed to understand the kinetics of accumulation of the pathogenic cGAS ligand and the resulting altered gene expression upon induced loss of TREX1.
GSE178814	2	Single cell RNA sequence data from liver-specific Pten/Traf3 knockout mice	Intrahepatic cholangiocarcinoma (ICC) is known to have a poor prognosis among primary liver cancers. We created a mouse model of cholangiocarcinogenesis by specifically deleting Pten and Traf3 in the liver. single cell RNA sequence was performed with RNA extracted from the liver of mice lacking liver-specific Pten and Traf3.
